"NAME","TYPE","WHEN",latitude,longitude,"ADDRESS",zip,"call","FORWHOM"
"St. Ladislas Church (at St. Ignatius of Antioch)","Hot Meal","1st & 3rd Wednesdays: 5:30 - 6:30",41.46558,-81.75649,"10205 Lorain Avenue",44111,"216-251-0300","Open to Anyone"
"St. Ladislas Church (at St. Ignatius of Antioch)","Pantry","2nd Tuesday: 3:30 - 5:30",41.46558,-81.75649,"10205 Lorain Avenue",44111,"216-251-0300","44102 and 44111"
"Morning Star Baptist Church","Hot Meal","2nd, 3rd & 4th Wednesdays: 3:00 - 4:30 (closed in July)",41.48335,-81.61446,"10250 Shaker Boulevard",44104,"216-721-7300","Open to Anyone"
"Project SEVA - Morning Star Baptist Church","Hot Meal","First Wednesday: 2:00 - 4:00 (closed in July)",41.48335,-81.61446,"10250 Shaker Boulevard",44104,"216-721-7300","Open to Anyone"
"Faith Based Initiative","Hot Meal","3rd Monday: 4:00 - 5:30",41.53447,-81.61654,"10313 Garfield Avenue",44108,"216-851-3330","Open to Anyone"
"Adams Avenue Church of Christ","Pantry","4th Saturday: 10:00 - 12:00",41.53025,-81.616,"10407 Adams Avenue",44108,"216-541-2210","Open to Anyone"
"Lee Memorial A.M.E. Church","Hot Meal","3rd Thursday, 3rd Friday & 3rd Sunday: 5:00 - 6:00 (Closed in January)",41.53344,-81.6147,"10512 Bryant Avenue",44108,"216-761-4447","Open to Anyone"
"Lee Memorial A.M.E. Church","Pantry","1st Saturday: 1:00 - 3:00; 3rd Wednesday: 2:00 - 4:00",41.53344,-81.6147,"10512 Bryant Avenue",44108,"216-761-3971","44108 & 44110"
"Mt. Zion Congregational Church UCC","Hot Meal","Last Saturday: 12:00 - 1:00 PM",41.51466,-81.6126,"10723 Magnolia Drive",44106,"216-791-5760","Open to Anyone"
"Avon Avenue Baptist Church","Hot Meal","Last Thursday: 6:00 - 8:00",41.4508,-81.60852,"10902 Avon Avenue",44105,"216-341-0505","Open to Anyone"
"Avon Avenue Baptist Church","Pantry","Tuesdays  Thursdays & Fridays: 10:00 – 12:00",41.4508,-81.60852,"10902 Avon Avenue",44105,"216-883-6120",44105
"Benevolent Love Ministries","Pantry","2nd & 4th Saturdays: 8:30 - 12:00",41.44523,-81.60872,"10917 Miles Avenue",44105,"216-883-8071",
"St. Aloysius Church","Hot Meal","Tuesdays: 5:00 - 6:00",41.5398,-81.60926,"10932 St. Clair Avenue",44108,"216-451-3262","Open to Anyone"
"St. Aloysius Church","Pantry","4th Saturday: 8:30 - 11:30",41.5398,-81.60926,"10932 St. Clair Avenue",44108,"216-451-3262","44104, 44106, 44108 and 44110"
"St. Mark's Baptist Church","Pantry","Tuesdays  Thursdays & Fridays: 2:30 – 4:30",41.48184,-81.60754,"11123 Buckeye Road",44104,"216-421-0053","Within this area: East 93rd Street, East 149th Street, Mt. Overlook Avenue and Kinsman Road"
"Cory Hunger Center","Pantry","Mondays  Tuesdays & Thursdays: 8:00 – 12:00",41.52707,-81.61543,"1117 East 105th Street",44108,"216-451-0577","Glenville and St. Clair -Superior"
"Cory Kitchen","Hot Meal","Last 7 Days of the Month (excluding Saturdays & Sundays): Winter: 4:30 - 5:30 and Summer: 5:30 - 6:30",41.52707,-81.61543,"1117 East 105th Street",44108,"216-451-0460","Glenville"
"St. Philip Lutheran Church","Hot Meal","4th Thursday: 6:00 - 7:00",41.46768,-81.60434,"11315 Regalia Avenue",44104,"216-991-0655","Open to Anyone"
